SAMPLEID	INDEX_NAME	INDEX_REGION	ni_total	li_total	nt_total	nt_Achnan_Navic	nt_LOW_N	nt_HIGH_N	nt_LOW_P	nt_HIGH_P	nt_BC_1	nt_BC_2	nt_BC_3	nt_BC_4	nt_BC_5	nt_BC_12	nt_BC_45	nt_PT_1	nt_PT_2	nt_PT_3	nt_PT_4	nt_PT_5	nt_PT_12	nt_SALINITY_1	nt_SALINITY_2	nt_SALINITY_3	nt_SALINITY_4	nt_SALINITY_12	nt_SALINITY_34	nt_O_1	nt_O_2	nt_O_3	nt_O_4	nt_O_5	nt_O_345	nt_SESTONIC_HABIT	nt_BENTHIC_HABIT	nt_BAHLS_1	nt_BAHLS_2	nt_BAHLS_3	nt_TROPHIC_1	nt_TROPHIC_2	nt_TROPHIC_3	nt_TROPHIC_4	nt_TROPHIC_5	nt_TROPHIC_6	nt_TROPHIC_7	nt_TROPHIC_456	nt_SAP_1	nt_SAP_2	nt_SAP_3	nt_SAP_4	nt_SAP_5	nt_NON_N_FIXER	nt_N_FIXER	nt_HIGHLY_MOTILE	nt_MODERATELY_MOTILE	nt_NON_MOTILE	nt_SLIGHTLY_MOTILE	nt_WEAKLY_MOTILE	nt_BIG	nt_SMALL	nt_MEDIUM	nt_VERY_BIG	nt_VERY_SMALL	nt_ADNATE	nt_STALKED	nt_HIGHLY_MOTILE.1	nt_ARAPHID	nt_DIAT_CL_1	nt_DIAT_CL_2	nt_BEN_SES_1	nt_BEN_SES_2	nt_DIAT_CA_1	nt_DIAT_CA_2	nt_DIAT_COND_1	nt_DIAT_COND_2	nt_DIATAS_TN_1	nt_DIATAS_TN_2	nt_DIATAS_TP_1	nt_DIATAS_TP_2	nt_MOTILITY_1	nt_MOTILITY_2	nt_NF_1	nt_NF_2	pi_Achnan_Navic	pi_HIGH_N	pi_LOW_N	pi_HIGH_P	pi_LOW_P	pi_BC_1	pi_BC_2	pi_BC_3	pi_BC_4	pi_BC_5	pi_PT_1	pi_PT_2	pi_PT_3	pi_PT_4	pi_PT_5	pi_PT_45	pi_SALINITY_1	pi_SALINITY_2	pi_SALINITY_3	pi_SALINITY_4	pi_O_1	pi_O_2	pi_O_3	pi_O_4	pi_O_5	pi_SESTONIC_HABIT	pi_BENTHIC_HABIT	pi_BAHLS_1	pi_BAHLS_2	pi_BAHLS_3	pi_TROPHIC_1	pi_TROPHIC_2	pi_TROPHIC_3	pi_TROPHIC_4	pi_TROPHIC_5	pi_TROPHIC_6	pi_TROPHIC_7	pi_SAP_1	pi_SAP_2	pi_SAP_3	pi_SAP_4	pi_SAP_5	pi_NON_N_FIXER	pi_N_FIXER	pi_HIGHLY_MOTILE	pi_MODERATELY_MOTILE	pi_NON_MOTILE	pi_SLIGHTLY_MOTILE	pi_WEAKLY_MOTILE	pi_BIG	pi_SMALL	pi_MEDIUM	pi_VERY_BIG	pi_VERY_SMALL	pi_ADNATE	pi_STALKED	pi_HIGHLY_MOTILE.1	pi_ARAPHID	pi_DIAT_CL_1	pi_DIAT_CL_1_ASSR	pi_DIAT_CL_2	pi_BEN_SES_1	pi_BEN_SES_2	pi_DIAT_CA_1	pi_DIAT_CA_2	pi_DIAT_COND_1	pi_DIAT_COND_2	pi_DIATAS_TN_1	pi_DIATAS_TN_2	pi_DIATAS_TP_1	pi_DIATAS_TP_2	pi_MOTILITY_1	pi_MOTILITY_2	pi_NF_1	pi_NF_2	pt_Achnan_Navic	pt_HIGH_N	pt_LOW_N	pt_HIGH_P	pt_LOW_P	pt_BC_1	pt_BC_2	pt_BC_3	pt_BC_4	pt_BC_5	pt_BC_12	pt_BC_45	pt_PT_1	pt_PT_2	pt_PT_3	pt_PT_4	pt_PT_5	pt_PT_12	pt_SALINITY_1	pt_SALINITY_2	pt_SALINITY_3	pt_SALINITY_4	pt_SALINITY_34	pt_O_1	pt_O_2	pt_O_3	pt_O_4	pt_O_5	pt_O_345	pt_SESTONIC_HABIT	pt_BENTHIC_HABIT	pt_BAHLS_1	pt_BAHLS_2	pt_BAHLS_3	pt_TROPHIC_1	pt_TROPHIC_2	pt_TROPHIC_3	pt_TROPHIC_4	pt_TROPHIC_5	pt_TROPHIC_6	pt_TROPHIC_7	pt_TROPHIC_456	pt_SAP_1	pt_SAP_2	pt_SAP_3	pt_SAP_4	pt_SAP_5	pt_NON_N_FIXER	pt_N_FIXER	pt_HIGHLY_MOTILE	pt_MODERATELY_MOTILE	pt_NON_MOTILE	pt_SLIGHTLY_MOTILE	pt_WEAKLY_MOTILE	pt_BIG	pt_SMALL	pt_MEDIUM	pt_VERY_BIG	pt_VERY_SMALL	pt_ADNATE	pt_STALKED	pt_HIGHLY_MOTILE.1	pt_ARAPHID	pt_DIAT_CL_1	pt_DIAT_CL_2	pt_BEN_SES_1	pt_BEN_SES_2	pt_DIAT_CA_1	pt_DIAT_CA_2	pt_DIAT_COND_1	pt_DIAT_COND_2	pt_DIATAS_TN_1	pt_DIATAS_TN_2	pt_DIATAS_TP_1	pt_DIATAS_TP_2	pt_MOTILITY_1	pt_MOTILITY_2	pt_NF_1	pt_NF_2	nt_Sens_810	nt_RefIndicators	nt_Tol_13	pi_Sens_810	pi_RefIndicators	pi_Tol_13	pt_Sens_810	pt_RefIndicators	pt_Tol_13	wa_POLL_TOL
AB09783	IDEM_2021_Diatoms	HIN	600	6.396929655	32	10	3	13	3	14	2	2	5	11	9	4	20	2	3	2	2	1	5	1	19	4	1	20	5	9	0	7	4	1	12	2	30	4	13	8	1	2	2	2	12	0	4	14	4	7	7	4	1	31	0	5	11	5	8	2	2	11	6	1	9	5	6	14	3	0	11	30	1	2	0	0	3	6	2	14	3	12	18	0	31	33.66666667	64.83333333	18.33333333	67	18.33333333	0.5	1.5	21	44.66666667	28.5	27.5	20.16666667	0.5	17.66666667	1	18.66666667	0.166666667	87.66666667	5.833333333	1.5	35.66666667	0	25.5	30	0.5	1.5	97.33333333	30	14.5	32.66666667	1	2.166666667	2.666666667	2.5	55	0	29.33333333	5.5	32.66666667	25	29.5	1.5	97.83333333	0	23.5	36.5	4.666666667	31.5	1.666666667	1.333333333	51.83333333	7.333333333	0.166666667	36	29.5	31.83333333	31.16666667	3.166666667	0	0	62.33333333	97.33333333	0.5	1.666666667	0	0	3.666666667	21.66666667	18	67	18.33333333	28.66666667	68.5	0	97.83333333	31.25	40.625	9.375	43.75	9.375	6.25	6.25	15.625	34.375	28.125	12.5	62.5	6.25	9.375	6.25	6.25	3.125	15.625	3.125	59.375	12.5	3.125	15.625	28.125	0	21.875	12.5	3.125	37.5	6.25	93.75	12.5	40.625	25	3.125	6.25	6.25	6.25	37.5	0	12.5	43.75	12.5	21.875	21.875	12.5	3.125	96.875	0	15.625	34.375	15.625	25	6.25	6.25	34.375	18.75	3.125	28.125	15.625	18.75	43.75	9.375	0	34.375	93.75	3.125	6.25	0	0	9.375	18.75	6.25	43.75	9.375	37.5	56.25	0	96.875	9	4	6	35.03401361	29.33333333	5.442176871	28.125	12.5	18.75	2.16957606
AB09784	IDEM_2021_Diatoms	HIN	600	6.396929655	54	11	1	24	1	22	2	2	11	23	11	4	34	4	4	3	5	2	8	4	32	6	0	36	6	6	7	17	6	0	23	6	49	6	21	12	1	1	0	5	24	1	6	30	2	14	16	5	1	54	0	15	21	7	8	3	3	23	12	1	8	4	6	35	1	0	19	49	5	8	0	2	4	12	1	22	2	33	18	0	54	24.66666667	33	0.833333333	34.5	0.833333333	1	0.833333333	7.5	36.5	49.16666667	23.5	6.666666667	5.166666667	2.666666667	2.666666667	5.333333333	5.166666667	53.16666667	16.83333333	0	7.166666667	17.83333333	19.33333333	24.83333333	0	18.16666667	83.16666667	18.5	26	21.83333333	2.333333333	0.666666667	0	5.5	44.5	1.333333333	4.666666667	4	26.5	15.66666667	24.16666667	1.333333333	100	0	11.66666667	42	18.83333333	25.16666667	2.333333333	4	28.66666667	40.66666667	0.5	19.83333333	7.166666667	4.5	54.5	0.666666667	0	0	19.83333333	83.16666667	16.83333333	7.166666667	0	0.833333333	3	14	0.833333333	34.5	1.5	54.16666667	31.33333333	0	100	20.37037037	44.44444444	1.851851852	40.74074074	1.851851852	3.703703704	3.703703704	20.37037037	42.59259259	20.37037037	7.407407407	62.96296296	7.407407407	7.407407407	5.555555556	9.259259259	3.703703704	14.81481481	7.407407407	59.25925926	11.11111111	0	11.11111111	11.11111111	12.96296296	31.48148148	11.11111111	0	42.59259259	11.11111111	90.74074074	11.11111111	38.88888889	22.22222222	1.851851852	1.851851852	0	9.259259259	44.44444444	1.851851852	11.11111111	55.55555556	3.703703704	25.92592593	29.62962963	9.259259259	1.851851852	100	0	27.77777778	38.88888889	12.96296296	14.81481481	5.555555556	5.555555556	42.59259259	22.22222222	1.851851852	14.81481481	7.407407407	11.11111111	64.81481481	1.851851852	0	35.18518519	90.74074074	9.259259259	14.81481481	0	3.703703704	7.407407407	22.22222222	1.851851852	40.74074074	3.703703704	61.11111111	33.33333333	0	100	11	2	9	15.39763113	1.166666667	15.56683587	20.37037037	3.703703704	16.66666667	1.87704918
AB09786	IDEM_2021_Diatoms	HIN	600	6.396929655	40	10	2	16	2	18	1	2	10	15	10	3	25	4	5	2	5	2	9	1	25	6	1	26	7	6	1	13	6	1	20	2	38	6	14	10	2	1	2	3	17	1	5	21	3	12	9	5	2	39	0	12	13	4	6	4	1	20	7	0	6	5	3	23	2	0	14	38	1	9	0	3	2	10	1	18	2	19	19	0	39	25.33333333	65.5	2.666666667	71.16666667	2.666666667	0.5	1.666666667	54.66666667	23.33333333	18.83333333	12.83333333	2.666666667	1.833333333	44.66666667	1.666666667	46.33333333	0.333333333	66.16666667	15.83333333	3.5	5	0.166666667	57.66666667	13.66666667	1.333333333	2	98.5	14.66666667	22.5	49.16666667	1.666666667	0.333333333	6.833333333	1.5	64.5	0.166666667	6.333333333	2.333333333	50	11.83333333	14.66666667	3.666666667	99.83333333	0	11.66666667	33.16666667	6	6.166666667	42.83333333	0.666666667	70.16666667	12.33333333	0	12.83333333	45.16666667	6.166666667	36.66666667	4	0	0	56.16666667	98.5	1.333333333	53.33333333	0	10	3.833333333	14	2.166666667	71.16666667	2.666666667	37.5	60.33333333	0	99.83333333	25	40	5	45	5	2.5	5	25	37.5	25	7.5	62.5	10	12.5	5	12.5	5	22.5	2.5	62.5	15	2.5	17.5	15	2.5	32.5	15	2.5	50	5	95	15	35	25	5	2.5	5	7.5	42.5	2.5	12.5	52.5	7.5	30	22.5	12.5	5	97.5	0	30	32.5	10	15	10	2.5	50	17.5	0	15	12.5	7.5	57.5	5	0	35	95	2.5	22.5	0	7.5	5	25	2.5	45	5	47.5	47.5	0	97.5	5	4	8	9.532062392	3.333333333	11.78509532	12.5	10	20	3.308900524
AB09787	IDEM_2021_Diatoms	HIN	600	6.396929655	42	8	3	20	3	19	3	1	13	15	10	4	25	4	3	1	7	1	7	1	28	5	1	29	6	7	7	10	4	0	14	0	42	6	12	13	1	0	3	3	19	1	5	23	5	15	6	4	2	42	0	9	16	3	10	4	0	22	8	1	8	6	4	25	3	0	11	42	0	11	0	6	1	14	2	18	4	18	20	0	42	22.5	51.33333333	16	53.16666667	16	0.833333333	0.166666667	24.16666667	23.16666667	51.66666667	20.66666667	3.5	0.333333333	29.33333333	0.166666667	29.5	0.166666667	65.66666667	26.16666667	0.333333333	23.16666667	12.66666667	33.83333333	21	0	0	100	22	36.5	31.66666667	0.166666667	0	0.833333333	2.166666667	50.33333333	0.166666667	18	2	37.83333333	29.16666667	22.33333333	0.5	100	0	28.83333333	10	0.666666667	48.16666667	12.33333333	0	30.33333333	4	0.666666667	63.83333333	22.33333333	9.5	41	0.666666667	0	0	24.33333333	100	0	11.66666667	0	1.666666667	0.333333333	22.83333333	15.83333333	52.66666667	16.5	38.33333333	40.83333333	0	100	19.04761905	47.61904762	7.142857143	45.23809524	7.142857143	7.142857143	2.380952381	30.95238095	35.71428571	23.80952381	9.523809524	59.52380952	9.523809524	7.142857143	2.380952381	16.66666667	2.380952381	16.66666667	2.380952381	66.66666667	11.9047619	2.380952381	14.28571429	16.66666667	16.66666667	23.80952381	9.523809524	0	33.33333333	0	100	14.28571429	28.57142857	30.95238095	2.380952381	0	7.142857143	7.142857143	45.23809524	2.380952381	11.9047619	54.76190476	11.9047619	35.71428571	14.28571429	9.523809524	4.761904762	100	0	21.42857143	38.0952381	7.142857143	23.80952381	9.523809524	0	52.38095238	19.04761905	2.380952381	19.04761905	14.28571429	9.523809524	59.52380952	7.142857143	0	26.19047619	100	0	26.19047619	0	14.28571429	2.380952381	33.33333333	4.761904762	42.85714286	9.523809524	42.85714286	47.61904762	0	100	10	7	8	26.51006711	22.66666667	5.033557047	23.80952381	16.66666667	19.04761905	2.719135802
AB09788	IDEM_2021_Diatoms	HIN	600	6.396929655	34	7	3	17	2	17	2	2	7	15	8	4	23	4	3	1	7	1	7	3	21	5	0	24	5	4	3	11	7	0	18	0	34	8	7	13	2	1	2	1	18	0	4	19	3	11	9	6	0	34	0	9	11	0	8	6	0	16	4	1	11	7	4	19	0	0	14	34	0	6	2	4	3	9	3	17	2	18	15	0	34	10.5	67.33333333	2.833333333	72.83333333	2.5	0.5	1.166666667	25	14	59.33333333	14.33333333	20	1.333333333	23.83333333	0.166666667	24	10.33333333	66.16666667	13.33333333	0	3	1.666666667	53.83333333	21	0	0	100	22.16666667	20	27.5	10	0.333333333	1	0.166666667	61.66666667	0	4.666666667	9.666666667	25.16666667	35.33333333	19.66666667	0	100	0	43.16666667	11.33333333	0	20.5	25	0	57.66666667	3.166666667	0.666666667	36.16666667	23.16666667	1.5	60.5	0	0	0	31.33333333	100	0	33.16666667	0.5	4.5	0.833333333	34.5	2.833333333	72.83333333	2.5	58.83333333	29.16666667	0	100	20.58823529	50	8.823529412	50	5.882352941	5.882352941	5.882352941	20.58823529	44.11764706	23.52941176	11.76470588	67.64705882	11.76470588	8.823529412	2.941176471	20.58823529	2.941176471	20.58823529	8.823529412	61.76470588	14.70588235	0	14.70588235	11.76470588	8.823529412	32.35294118	20.58823529	0	52.94117647	0	100	23.52941176	20.58823529	38.23529412	5.882352941	2.941176471	5.882352941	2.941176471	52.94117647	0	11.76470588	55.88235294	8.823529412	32.35294118	26.47058824	17.64705882	0	100	0	26.47058824	32.35294118	0	23.52941176	17.64705882	0	47.05882353	11.76470588	2.941176471	32.35294118	20.58823529	11.76470588	55.88235294	0	0	41.17647059	100	0	17.64705882	5.882352941	11.76470588	8.823529412	26.47058824	8.823529412	50	5.882352941	52.94117647	44.11764706	0	100	7	3	6	5.723905724	2.833333333	12.28956229	20.58823529	8.823529412	17.64705882	2.589385475
AB09789	IDEM_2021_Diatoms	HIN	600	6.396929655	56	8	4	21	4	22	6	4	12	21	12	10	33	2	4	4	7	4	6	2	28	10	3	30	13	7	8	20	4	0	24	1	55	7	22	12	3	2	3	3	24	2	4	29	4	16	15	3	3	55	1	20	17	3	10	6	1	25	9	1	10	9	4	35	3	0	20	56	0	11	0	5	4	12	2	22	4	28	26	1	55	13.16666667	52.83333333	9	56.83333333	9	3.5	3	29.83333333	17.33333333	40.33333333	1.666666667	14.66666667	3.666666667	28.66666667	2.5	31.16666667	1.666666667	53.33333333	15.5	4.833333333	9.333333333	5	51.83333333	4.333333333	0	12.83333333	87.16666667	4.333333333	38.83333333	28	2.666666667	0.833333333	4.333333333	0.666666667	53.16666667	1.166666667	8.666666667	3.666666667	33.33333333	29.5	2.333333333	4	99.5	0.5	33.66666667	11.5	17.5	16.83333333	20.5	12.83333333	45.5	8.5	0.166666667	23.66666667	32.16666667	2.5	44.16666667	17.5	0	0	38.16666667	100	0	35.83333333	0	16	9.833333333	22.33333333	6.666666667	56.83333333	9	40.33333333	58	0.5	99.5	14.28571429	37.5	7.142857143	39.28571429	7.142857143	10.71428571	7.142857143	21.42857143	37.5	21.42857143	17.85714286	58.92857143	3.571428571	7.142857143	7.142857143	12.5	7.142857143	10.71428571	3.571428571	50	17.85714286	5.357142857	23.21428571	12.5	14.28571429	35.71428571	7.142857143	0	42.85714286	1.785714286	98.21428571	12.5	39.28571429	21.42857143	5.357142857	3.571428571	5.357142857	5.357142857	42.85714286	3.571428571	7.142857143	51.78571429	7.142857143	28.57142857	26.78571429	5.357142857	5.357142857	98.21428571	1.785714286	35.71428571	30.35714286	5.357142857	17.85714286	10.71428571	1.785714286	44.64285714	16.07142857	1.785714286	17.85714286	16.07142857	7.142857143	62.5	5.357142857	0	35.71428571	100	0	19.64285714	0	8.928571429	7.142857143	21.42857143	3.571428571	39.28571429	7.142857143	50	46.42857143	1.785714286	98.21428571	11	5	12	17.6882662	13.66666667	24.86865149	19.64285714	8.928571429	21.42857143	3.306188925
AB09790	IDEM_2021_Diatoms	HIN	600	6.396929655	51	10	3	18	2	22	1	2	11	21	12	3	33	5	4	3	4	2	9	2	29	6	2	31	8	9	7	11	8	0	19	1	50	12	16	11	2	2	3	3	23	1	4	27	6	12	13	6	1	51	0	21	20	1	7	2	2	18	12	1	9	3	7	37	0	1	16	50	1	9	1	6	3	11	3	22	2	31	18	0	51	25.66666667	48.16666667	8.333333333	52.33333333	8.166666667	0.333333333	0.666666667	13.16666667	32.33333333	49.66666667	32.83333333	10.83333333	1.333333333	9.833333333	0.5	10.33333333	5.333333333	65.5	14.66666667	1	12	4.666666667	22	41.5	0	0.166666667	99.83333333	45	19.66666667	13.16666667	5.333333333	1.5	1	2	46	1.666666667	8.5	7.666666667	14	23.16666667	39.5	1.666666667	100	0	27	30.66666667	0.166666667	34.83333333	7.333333333	0.666666667	31	17.83333333	0.333333333	42.66666667	8.166666667	10.16666667	59.66666667	0	0.666666667	8.174065319	23.83333333	99.83333333	0.166666667	27.16666667	0.333333333	7	1.5	30.16666667	8.333333333	52.33333333	8.166666667	55.5	23.66666667	0	100	19.60784314	35.29411765	5.882352941	43.1372549	3.921568627	1.960784314	3.921568627	21.56862745	41.17647059	23.52941176	5.882352941	64.70588235	9.803921569	7.843137255	5.882352941	7.843137255	3.921568627	17.64705882	3.921568627	56.8627451	11.76470588	3.921568627	15.68627451	17.64705882	13.7254902	21.56862745	15.68627451	0	37.25490196	1.960784314	98.03921569	23.52941176	31.37254902	21.56862745	3.921568627	3.921568627	5.882352941	5.882352941	45.09803922	1.960784314	7.843137255	52.94117647	11.76470588	23.52941176	25.49019608	11.76470588	1.960784314	100	0	41.17647059	39.21568627	1.960784314	13.7254902	3.921568627	3.921568627	35.29411765	23.52941176	1.960784314	17.64705882	5.882352941	13.7254902	72.54901961	0	1.960784314	31.37254902	98.03921569	1.960784314	17.64705882	1.960784314	11.76470588	5.882352941	21.56862745	5.882352941	43.1372549	3.921568627	60.78431373	35.29411765	0	100	12	5	11	14.52702703	9.166666667	18.58108108	23.52941176	9.803921569	21.56862745	1.813253012
AB09791	IDEM_2021_Diatoms	HIN	600	6.396929655	45	12	3	24	3	24	1	1	8	21	13	2	33	5	4	2	6	2	9	1	26	10	1	27	11	5	8	11	9	1	21	2	44	10	15	9	1	0	3	3	25	1	3	29	3	13	12	7	1	45	0	13	20	3	6	3	2	15	11	0	9	4	5	32	1	0	12	44	1	12	0	3	2	13	2	24	3	26	18	0	45	7.833333333	60.16666667	1.666666667	65.83333333	1.666666667	0.5	0.333333333	8	37.5	45	15.16666667	8.5	3.166666667	19	1	20	8.166666667	62	9.166666667	6.666666667	6	19.66666667	15	26.33333333	3.166666667	4.666666667	96.83333333	33.33333333	15.16666667	21.5	8.166666667	0	4.833333333	3.166666667	52	1	2.333333333	9	27	15.16666667	27.16666667	1	100	0	28.16666667	31.16666667	5.166666667	10.83333333	24.66666667	1.666666667	45.16666667	11.33333333	0	22.66666667	1.5	33.83333333	51.66666667	0.5	0	0	13.66666667	96.83333333	3.166666667	21	0	2	0.5	47	1.166666667	65.83333333	1.666666667	46.83333333	45.33333333	0	100	26.66666667	53.33333333	6.666666667	53.33333333	6.666666667	2.222222222	2.222222222	17.77777778	46.66666667	28.88888889	4.444444444	73.33333333	11.11111111	8.888888889	4.444444444	13.33333333	4.444444444	20	2.222222222	57.77777778	22.22222222	2.222222222	24.44444444	11.11111111	17.77777778	24.44444444	20	2.222222222	46.66666667	4.444444444	97.77777778	22.22222222	33.33333333	20	2.222222222	0	6.666666667	6.666666667	55.55555556	2.222222222	6.666666667	64.44444444	6.666666667	28.88888889	26.66666667	15.55555556	2.222222222	100	0	28.88888889	44.44444444	6.666666667	13.33333333	6.666666667	4.444444444	33.33333333	24.44444444	0	20	8.888888889	11.11111111	71.11111111	2.222222222	0	26.66666667	97.77777778	2.222222222	26.66666667	0	6.666666667	4.444444444	28.88888889	4.444444444	53.33333333	6.666666667	57.77777778	40	0	100	6	2	14	6.532663317	1.166666667	26.13065327	13.33333333	4.444444444	31.11111111	2.619217082
AB09792	IDEM_2021_Diatoms	HIN	600	6.396929655	56	11	6	18	6	18	5	5	8	19	13	10	31	4	3	5	2	3	7	3	32	8	3	35	11	7	9	14	6	1	21	2	55	5	24	7	2	1	4	3	17	2	11	22	3	15	15	6	3	56	0	15	23	8	8	2	2	20	15	0	9	3	4	33	6	0	21	55	1	9	1	3	5	12	3	18	7	32	22	0	56	13.33333333	38	11.33333333	55	11.33333333	7.333333333	3	10.33333333	46.5	29.33333333	16.66666667	12.33333333	3.5	2.333333333	3	5.333333333	6.833333333	58.33333333	24.66666667	4.333333333	5.5	7.666666667	33.66666667	20.33333333	3.833333333	13.33333333	96.16666667	18.66666667	36.83333333	4.666666667	6.5	0.333333333	21	2.333333333	39.33333333	5.5	13.83333333	6.833333333	16.16666667	32.33333333	19.16666667	8	100	0	21.83333333	43	26.16666667	7.166666667	1.833333333	10.16666667	47	15.83333333	0	20.16666667	3.166666667	14.33333333	36.66666667	12.83333333	0	0	34.83333333	96.16666667	3.833333333	12.83333333	1.5	3.666666667	4.833333333	24.33333333	2.5	55	11.66666667	46.83333333	52.16666667	0	100	19.64285714	32.14285714	10.71428571	32.14285714	10.71428571	8.928571429	8.928571429	14.28571429	33.92857143	23.21428571	17.85714286	55.35714286	7.142857143	5.357142857	8.928571429	3.571428571	5.357142857	12.5	5.357142857	57.14285714	14.28571429	5.357142857	19.64285714	12.5	16.07142857	25	10.71428571	1.785714286	37.5	3.571428571	98.21428571	8.928571429	42.85714286	12.5	3.571428571	1.785714286	7.142857143	5.357142857	30.35714286	3.571428571	19.64285714	39.28571429	5.357142857	26.78571429	26.78571429	10.71428571	5.357142857	100	0	26.78571429	41.07142857	14.28571429	14.28571429	3.571428571	3.571428571	35.71428571	26.78571429	0	16.07142857	5.357142857	7.142857143	58.92857143	10.71428571	0	37.5	98.21428571	1.785714286	16.07142857	1.785714286	5.357142857	8.928571429	21.42857143	5.357142857	32.14285714	12.5	57.14285714	39.28571429	0	100	13	5	7	12.98932384	3.333333333	10.85409253	23.21428571	8.928571429	12.5	2.013215859
AB09793	IDEM_2021_Diatoms	HIN	600	6.396929655	68	16	5	27	5	30	5	4	15	23	17	9	40	4	4	4	8	4	8	4	36	11	1	40	12	14	8	17	6	1	24	4	64	8	20	16	4	1	3	4	29	2	9	35	5	22	15	6	1	68	0	13	26	6	16	6	3	25	15	1	14	9	8	39	2	2	24	64	3	11	1	6	4	17	4	30	5	33	31	0	68	38.16666667	31	10.5	45.83333333	10.5	3	1.166666667	21.33333333	27.83333333	45.33333333	6.666666667	6.666666667	1	15.5	2	17.5	7.166666667	43	25	0.333333333	16.33333333	23.33333333	18.5	7.333333333	0.166666667	20.33333333	79.33333333	9.166666667	22	32.33333333	5.833333333	1.5	2.333333333	1.666666667	44.5	1.166666667	15.16666667	8	42.66666667	12.16666667	8	1	100	0	15.5	32.16666667	21.16666667	25.16666667	5.5	1.333333333	36.5	36.66666667	0.166666667	19.66666667	18.16666667	4.833333333	50.16666667	0.833333333	1.166666667	10.82234793	28.16666667	79.33333333	20.16666667	15	0.333333333	5	2.333333333	22.66666667	10.16666667	45.83333333	10.5	46.83333333	48.33333333	0	100	23.52941176	39.70588235	7.352941176	44.11764706	7.352941176	7.352941176	5.882352941	22.05882353	33.82352941	25	13.23529412	58.82352941	5.882352941	5.882352941	5.882352941	11.76470588	5.882352941	11.76470588	5.882352941	52.94117647	16.17647059	1.470588235	17.64705882	20.58823529	11.76470588	25	8.823529412	1.470588235	35.29411765	5.882352941	94.11764706	11.76470588	29.41176471	23.52941176	5.882352941	1.470588235	4.411764706	5.882352941	42.64705882	2.941176471	13.23529412	51.47058824	7.352941176	32.35294118	22.05882353	8.823529412	1.470588235	100	0	19.11764706	38.23529412	8.823529412	23.52941176	8.823529412	4.411764706	36.76470588	22.05882353	1.470588235	20.58823529	13.23529412	11.76470588	57.35294118	2.941176471	2.941176471	35.29411765	94.11764706	4.411764706	16.17647059	1.470588235	8.823529412	5.882352941	25	5.882352941	44.11764706	7.352941176	48.52941176	45.58823529	0	100	17	7	13	19.21768707	11	8.163265306	25	10.29411765	19.11764706	2.984293194
AB09794	IDEM_2021_Diatoms	HIN	600	6.396929655	52	12	1	20	1	21	2	3	15	18	11	5	29	4	5	3	5	2	9	1	29	7	1	30	8	7	9	11	6	0	17	5	48	5	18	12	2	0	3	3	22	1	7	26	4	15	13	4	1	52	0	18	18	6	7	3	1	21	14	1	7	5	6	32	1	1	17	48	4	7	1	3	2	9	1	21	1	31	18	0	52	38.5	28.5	6.833333333	64.83333333	6.833333333	1.5	1.333333333	16	40.16666667	38.33333333	4.333333333	12.83333333	4.166666667	10	1.5	11.5	2	40.33333333	24.66666667	2.166666667	13	9.666666667	34.33333333	5.666666667	0	7.5	95.5	7.833333333	35.66666667	23.16666667	2.666666667	0	15	2.5	33.66666667	1.5	12.83333333	5.5	20.66666667	36.83333333	3.333333333	1.5	100	0	28.16666667	47.83333333	8	13.33333333	2.666666667	3	39.83333333	21.16666667	0.5	28.33333333	9.333333333	3	62.33333333	0.5	1.333333333	11.57282059	22.33333333	95.5	4.5	10.16666667	0.5	5.666666667	1.166666667	18	6.833333333	64.83333333	6.833333333	73.66666667	22.83333333	0	100	23.07692308	38.46153846	1.923076923	40.38461538	1.923076923	3.846153846	5.769230769	28.84615385	34.61538462	21.15384615	9.615384615	55.76923077	7.692307692	9.615384615	5.769230769	9.615384615	3.846153846	17.30769231	1.923076923	55.76923077	13.46153846	1.923076923	15.38461538	13.46153846	17.30769231	21.15384615	11.53846154	0	32.69230769	9.615384615	92.30769231	9.615384615	34.61538462	23.07692308	3.846153846	0	5.769230769	5.769230769	42.30769231	1.923076923	13.46153846	50	7.692307692	28.84615385	25	7.692307692	1.923076923	100	0	34.61538462	34.61538462	11.53846154	13.46153846	5.769230769	1.923076923	40.38461538	26.92307692	1.923076923	13.46153846	9.615384615	11.53846154	61.53846154	1.923076923	1.923076923	32.69230769	92.30769231	7.692307692	13.46153846	1.923076923	5.769230769	3.846153846	17.30769231	1.923076923	40.38461538	1.923076923	59.61538462	34.61538462	0	100	7	3	8	11.63575042	8.666666667	7.588532884	13.46153846	5.769230769	15.38461538	2.741116751
